"Bob,Express","El,Rio","Fury","Indiana,River","Mount,Mara,VR","Naga,Bay","Oki,Doki","Revolution","Speedy,Bob","The,Dreamcatcher","Typhoon","Wildwaterbaan",time
5,15,20,5,0,25,25,30,15,15,40,5,20221023 132001
5,15,20,5,0,10,10,30,20,25,5,5,20221023 133001
5,15,20,5,0,10,10,30,20,25,5,5,20221023 134001
5,15,20,5,0,10,10,30,20,25,5,5,20221023 135001
5,15,20,5,0,10,10,30,20,25,5,5,20221023 140001
5,20,20,5,0,10,15,30,20,25,5,15,20221023 141001
5,20,20,5,0,10,15,10,25,20,5,10,20221023 142001
5,20,0,5,0,10,15,10,25,20,5,10,20221023 143001
5,20,30,5,0,10,15,10,25,20,5,10,20221023 144001
5,20,30,5,0,10,15,10,25,20,5,10,20221023 145001
5,10,30,25,0,20,10,15,25,20,5,10,20221023 150001
5,10,30,25,0,20,10,15,10,20,20,15,20221023 151001
5,10,30,25,0,20,10,15,10,20,20,15,20221023 152001
5,10,45,40,0,20,10,15,10,20,20,15,20221023 153001
5,10,45,40,0,25,10,5,5,5,30,20,20221023 154001
5,10,40,40,0,25,10,5,5,5,30,20,20221023 155001
5,10,40,40,0,25,10,5,5,5,30,20,20221023 160001
5,10,40,40,0,25,10,5,5,5,30,20,20221023 161001
5,10,40,40,0,25,10,5,5,5,30,20,20221023 162001
10,5,40,40,0,25,10,5,5,5,35,30,20221023 163001
10,5,40,40,0,25,10,5,5,5,35,30,20221023 164002
10,5,30,40,0,25,10,5,5,5,35,30,20221023 165001
10,5,30,40,0,25,10,5,5,5,35,30,20221023 170001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 171001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 172001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 173001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 174001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 175001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 180001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 181001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 182001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 183001
